metric;timestamp;value;resource_kind;resource_id;consumer_kind;consumer_id;__late_attributes
mem_total_kB;2026-03-25T00:53:15.239695997Z;1081669578752;local_machine;;local_machine;;
mem_free_kB;2026-03-25T00:53:15.239695997Z;1027451117568;local_machine;;local_machine;;
mem_available_kB;2026-03-25T00:53:15.239695997Z;1063926464512;local_machine;;local_machine;;
cached_kB;2026-03-25T00:53:15.239695997Z;33518579712;local_machine;;local_machine;;
swap_cached_kB;2026-03-25T00:53:15.239695997Z;0;local_machine;;local_machine;;
active_kB;2026-03-25T00:53:15.239695997Z;7212007424;local_machine;;local_machine;;
inactive_kB;2026-03-25T00:53:15.239695997Z;34538184704;local_machine;;local_machine;;
mapped_kB;2026-03-25T00:53:15.239695997Z;461524992;local_machine;;local_machine;;
mem_total_kB;2026-03-25T00:53:15.239783217Z;1081669578752;local_machine;;local_machine;;
mem_free_kB;2026-03-25T00:53:15.239783217Z;1027451117568;local_machine;;local_machine;;
mem_available_kB;2026-03-25T00:53:15.239783217Z;1063926464512;local_machine;;local_machine;;
cached_kB;2026-03-25T00:53:15.239783217Z;33518579712;local_machine;;local_machine;;
swap_cached_kB;2026-03-25T00:53:15.239783217Z;0;local_machine;;local_machine;;
active_kB;2026-03-25T00:53:15.239783217Z;7212007424;local_machine;;local_machine;;
inactive_kB;2026-03-25T00:53:15.239783217Z;34538184704;local_machine;;local_machine;;
mapped_kB;2026-03-25T00:53:15.239783217Z;461524992;local_machine;;local_machine;;
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;local_machine;;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;local_machine;;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;local_machine;;local_machine;;cpu_state=system
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;60;local_machine;;local_machine;;cpu_state=idle
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;local_machine;;local_machine;;cpu_state=irq
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;local_machine;;local_machine;;cpu_state=softirq
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;local_machine;;local_machine;;cpu_state=steal
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;local_machine;;local_machine;;cpu_state=guest
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;local_machine;;local_machine;;cpu_state=guest_nice
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;cpu_core;0;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;cpu_core;0;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;cpu_core;0;local_machine;;cpu_state=system
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;cpu_core;0;local_machine;;cpu_state=idle
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;cpu_core;0;local_machine;;cpu_state=irq
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;cpu_core;0;local_machine;;cpu_state=softirq
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;cpu_core;0;local_machine;;cpu_state=steal
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;cpu_core;0;local_machine;;cpu_state=guest
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;cpu_core;0;local_machine;;cpu_state=guest_nice
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;cpu_core;1;local_machine;;cpu_state=user
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;cpu_core;1;local_machine;;cpu_state=nice
kernel_cpu_time_ms;2026-03-25T00:53:15.238967597Z;0;cpu_core;1;local_machine;;cpu_state=system
